Step,Temperature,Best_Energy
214000,997.862277,379.308624
215000,997.852299,379.308624
216000,997.842320,379.308624
217000,997.832342,379.308624
218000,997.822364,379.308624
219000,997.812385,379.308624
220000,997.802407,379.308624
221000,997.792429,379.308624
222000,997.782451,379.308624
223000,997.772473,379.308624
224000,997.762496,379.308624
225000,997.752518,379.308624
226000,997.742541,379.308624
227000,997.732563,379.308624
228000,997.722586,379.308624
229000,997.712609,379.308624
230000,997.702631,379.308624
231000,997.692654,379.308624
232000,997.682678,379.308624
233000,997.672701,379.308624
234000,997.662724,379.308624
235000,997.652747,379.308624
236000,997.642771,379.308624
237000,997.632794,379.308624
238000,997.622818,379.308624
239000,997.612842,379.308624
240000,997.602866,379.308624
241000,997.592890,379.308624
242000,997.582914,379.308624
243000,997.572938,379.308624
244000,997.562962,379.308624
245000,997.552987,379.308624
246000,997.543011,379.308624
247000,997.533036,379.308624
248000,997.523060,379.308624
249000,997.513085,379.308624
250000,997.503110,379.308624
251000,997.493135,379.308624
252000,997.483160,379.308624
253000,997.473185,379.308624
254000,997.463210,379.308624
255000,997.453236,379.308624
256000,997.443261,379.308624
257000,997.433287,379.308624
258000,997.423312,379.308624
259000,997.413338,379.308624
260000,997.403364,379.308624
261000,997.393390,379.308624
262000,997.383416,379.308624
263000,997.373442,379.308624
264000,997.363469,379.308624
265000,997.353495,379.308624
266000,997.343521,379.308624
267000,997.333548,379.308624
268000,997.323575,379.308624
269000,997.313601,379.308624
270000,997.303628,379.308624
271000,997.293655,379.308624
272000,997.283682,379.308624
273000,997.273709,379.308624
274000,997.263737,379.308624
275000,997.253764,379.308624
276000,997.243792,379.308624
277000,997.233819,379.308624
278000,997.223847,379.308624
279000,997.213875,379.308624
280000,997.203902,379.308624
281000,997.193930,379.308624
282000,997.183958,379.308624
283000,997.173987,379.308624
284000,997.164015,379.308624
285000,997.154043,379.308624
286000,997.144072,379.308624
287000,997.134100,379.308624
288000,997.124129,379.308624
289000,997.114158,379.308624
290000,997.104186,379.308624
291000,997.094215,379.308624
292000,997.084244,379.308624
293000,997.074274,379.308624
294000,997.064303,379.308624
295000,997.054332,379.308624
296000,997.044362,379.308624
297000,997.034391,379.308624
298000,997.024421,379.308624
299000,997.014451,379.308624
300000,997.004481,379.308624
301000,996.994511,379.308624
302000,996.984541,379.308624
303000,996.974571,379.308624
304000,996.964601,379.308624
305000,996.954631,379.308624
306000,996.944662,379.308624
307000,996.934692,379.308624
308000,996.924723,379.308624
309000,996.914754,379.308624
310000,996.904785,379.308624
311000,996.894816,379.308624
312000,996.884847,379.308624
313000,996.874878,379.308624
314000,996.864909,379.308624
315000,996.854940,379.308624
316000,996.844972,379.308624
317000,996.835003,379.308624
318000,996.825035,379.308624
319000,996.815067,379.308624
320000,996.805099,379.308624
321000,996.795131,379.308624
322000,996.785163,379.308624
323000,996.775195,379.308624
324000,996.765227,379.308624
325000,996.755259,379.308624
326000,996.745292,379.308624
327000,996.735324,379.308624
328000,996.725357,379.308624
329000,996.715390,379.308624
330000,996.705423,379.308624
331000,996.695456,379.308624
332000,996.685489,379.308624
333000,996.675522,379.308624
334000,996.665555,379.308624
335000,996.655588,379.308624
336000,996.645622,379.308624
337000,996.635655,379.308624
338000,996.625689,379.308624
339000,996.615723,379.308624
340000,996.605757,379.308624
341000,996.595790,379.308624
342000,996.585824,379.308624
343000,996.575859,379.308624
344000,996.565893,379.308624
345000,996.555927,379.308624
346000,996.545962,379.308624
347000,996.535996,379.308624
348000,996.526031,379.308624
349000,996.516066,379.308624
350000,996.506100,379.308624
351000,996.496135,379.308624
352000,996.486170,379.308624
353000,996.476206,379.308624
354000,996.466241,379.308624
355000,996.456276,379.308624
356000,996.446312,379.308624
357000,996.436347,379.308624
358000,996.426383,379.308624
359000,996.416418,379.308624
360000,996.406454,379.308624
361000,996.396490,379.308624
362000,996.386526,379.308624
363000,996.376562,379.308624
364000,996.366599,379.308624
365000,996.356635,379.308624
366000,996.346671,379.308624
367000,996.336708,379.308624
368000,996.326745,379.308624
369000,996.316781,379.308624
370000,996.306818,379.308624
371000,996.296855,379.308624
372000,996.286892,379.308624
373000,996.276929,379.308624
374000,996.266966,379.308624
375000,996.257004,379.308624
376000,996.247041,379.308624
377000,996.237079,379.308624
378000,996.227116,379.308624
379000,996.217154,379.308624
380000,996.207192,379.308624
381000,996.197230,379.308624
382000,996.187268,379.308624
383000,996.177306,379.308624
384000,996.167344,379.308624
385000,996.157383,379.308624
386000,996.147421,379.308624
387000,996.137460,379.308624
388000,996.127498,379.308624
389000,996.117537,379.308624
390000,996.107576,379.308624
391000,996.097615,379.308624
392000,996.087654,379.308624
393000,996.077693,379.308624
394000,996.067732,379.308624
395000,996.057771,379.308624
396000,996.047811,379.308624
397000,996.037850,379.308624
398000,996.027890,379.308624
399000,996.017930,379.308624
400000,996.007969,379.308624
401000,995.998009,379.308624
402000,995.988049,379.308624
403000,995.978089,379.308624
404000,995.968130,379.308624
405000,995.958170,379.308624
406000,995.948210,379.308624
407000,995.938251,379.308624
408000,995.928292,379.308624
409000,995.918332,379.308624
410000,995.908373,379.308624
411000,995.898414,379.308624
412000,995.888455,379.308624
413000,995.878496,379.308624
414000,995.868537,379.308624
415000,995.858579,379.308624
416000,995.848620,379.308624
417000,995.838662,379.308624
418000,995.828703,379.308624
419000,995.818745,379.308624
420000,995.808787,379.308624
421000,995.798829,379.308624
422000,995.788871,379.308624
423000,995.778913,379.308624
424000,995.768955,379.308624
425000,995.758997,379.308624
426000,995.749040,379.308624
427000,995.739082,379.308624
428000,995.729125,379.308624
429000,995.719168,379.308624
430000,995.709210,379.308624
431000,995.699253,379.308624
432000,995.689296,379.308624
433000,995.679339,379.308624
434000,995.669383,379.308624
435000,995.659426,379.308624
436000,995.649469,379.308624
437000,995.639513,379.308624
438000,995.629556,379.308624
439000,995.619600,379.308624
440000,995.609644,379.308624
441000,995.599688,379.308624
442000,995.589732,379.308624
443000,995.579776,379.308624
444000,995.569820,379.308624
445000,995.559864,379.308624
446000,995.549909,379.308624
447000,995.539953,379.308624
448000,995.529998,379.308624
449000,995.520043,379.308624
450000,995.510087,379.308624
451000,995.500132,379.308624
452000,995.490177,379.308624
453000,995.480222,379.308624
454000,995.470268,379.308624
455000,995.460313,379.308624
456000,995.450358,379.308624
457000,995.440404,379.308624
458000,995.430449,379.308624
459000,995.420495,379.308624
460000,995.410541,379.308624
461000,995.400587,379.308624
462000,995.390633,379.308624
463000,995.380679,379.308624
464000,995.370725,379.308624
465000,995.360771,379.308624
466000,995.350818,379.308624
467000,995.340864,379.308624
468000,995.330911,379.308624
469000,995.320958,379.308624
470000,995.311004,379.308624
471000,995.301051,379.308624
472000,995.291098,379.308624
473000,995.281145,379.308624
474000,995.271192,379.308624
475000,995.261240,379.308624
476000,995.251287,379.308624
477000,995.241335,379.308624
478000,995.231382,379.308624
479000,995.221430,379.308624
480000,995.211478,379.308624
481000,995.201526,379.308624
482000,995.191574,379.308624
483000,995.181622,379.308624
484000,995.171670,379.308624
485000,995.161718,379.308624
486000,995.151767,379.308624
487000,995.141815,379.308624
488000,995.131864,379.308624
489000,995.121912,379.308624
490000,995.111961,379.308624
491000,995.102010,379.308624
492000,995.092059,379.308624
493000,995.082108,379.308624
494000,995.072157,379.308624
495000,995.062206,379.308624
496000,995.052256,379.308624
497000,995.042305,379.308624
498000,995.032355,379.308624
499000,995.022405,379.308624
500000,995.012454,379.308624
501000,995.002504,379.308624
502000,994.992554,379.308624
503000,994.982604,379.308624
504000,994.972654,379.308624
505000,994.962705,379.308624
506000,994.952755,379.308624
507000,994.942806,379.308624
508000,994.932856,379.308624
509000,994.922907,379.308624
510000,994.912958,379.308624
511000,994.903008,379.308624
512000,994.893059,379.308624
513000,994.883110,379.308624
514000,994.873162,379.308624
515000,994.863213,379.308624
516000,994.853264,379.308624
517000,994.843316,379.308624
518000,994.833367,379.308624
519000,994.823419,379.308624
520000,994.813471,379.308624
521000,994.803523,379.308624
522000,994.793575,379.308624
523000,994.783627,379.308624
524000,994.773679,379.308624
525000,994.763731,379.308624
526000,994.753783,379.308624
527000,994.743836,379.308624
528000,994.733888,379.308624
529000,994.723941,379.308624
530000,994.713994,379.308624
531000,994.704047,379.308624
532000,994.694100,379.308624
533000,994.684153,379.308624
534000,994.674206,379.308624
535000,994.664259,379.308624
536000,994.654313,379.308624
537000,994.644366,379.308624
538000,994.634420,379.308624
539000,994.624473,379.308624
540000,994.614527,379.308624
541000,994.604581,379.308624
542000,994.594635,379.308624
543000,994.584689,379.308624
544000,994.574743,379.308624
545000,994.564797,379.308624
546000,994.554852,379.308624
547000,994.544906,379.308624
548000,994.534961,379.308624
549000,994.525015,379.308624
550000,994.515070,379.308624
551000,994.505125,379.308624
552000,994.495180,379.308624
553000,994.485235,379.308624
554000,994.475290,379.308624
555000,994.465345,379.308624
556000,994.455401,379.308624
557000,994.445456,379.308624
558000,994.435512,379.308624
559000,994.425567,379.308624
560000,994.415623,379.308624
561000,994.405679,379.308624
562000,994.395735,379.308624
563000,994.385791,379.308624
564000,994.375847,379.308624
565000,994.365903,379.308624
566000,994.355959,379.308624
567000,994.346016,379.308624
568000,994.336072,379.308624
569000,994.326129,379.308624
570000,994.316186,379.308624
571000,994.306243,379.308624
572000,994.296300,379.308624
573000,994.286357,379.308624
574000,994.276414,379.308624
575000,994.266471,379.308624
576000,994.256528,379.308624
577000,994.246586,379.308624
578000,994.236643,379.308624
579000,994.226701,379.308624
580000,994.216759,379.308624
581000,994.206817,379.308624
582000,994.196874,379.308624
583000,994.186932,379.308624
584000,994.176991,379.308624
585000,994.167049,379.308624
586000,994.157107,379.308624
587000,994.147166,379.308624
588000,994.137224,379.308624
589000,994.127283,379.308624
590000,994.117341,379.308624
591000,994.107400,379.308624
592000,994.097459,379.308624
593000,994.087518,379.308624
594000,994.077577,379.308624
595000,994.067637,379.308624
596000,994.057696,379.308624
597000,994.047755,379.308624
598000,994.037815,379.308624
599000,994.027875,379.308624
600000,994.017934,379.308624
601000,994.007994,379.308624
602000,993.998054,379.308624
603000,993.988114,379.308624
604000,993.978174,379.308624
605000,993.968234,379.308624
606000,993.958295,379.308624
607000,993.948355,379.308624
608000,993.938416,379.308624
609000,993.928476,379.308624
610000,993.918537,379.308624
611000,993.908598,379.308624
612000,993.898659,379.308624
613000,993.888720,379.308624
614000,993.878781,379.308624
615000,993.868842,379.308624
616000,993.858903,379.308624
617000,993.848965,379.308624
618000,993.839026,379.308624
619000,993.829088,379.308624
620000,993.819150,379.308624
621000,993.809211,379.308624
622000,993.799273,379.308624
623000,993.789335,379.308624
624000,993.779397,379.308624
625000,993.769460,379.308624
626000,993.759522,379.308624
627000,993.749584,379.308624
628000,993.739647,379.308624
629000,993.729709,379.308624
630000,993.719772,379.308624
631000,993.709835,379.308624
632000,993.699898,379.308624
633000,993.689961,379.308624
634000,993.680024,379.308624
635000,993.670087,379.308624
636000,993.660150,379.308624
637000,993.650214,379.308624
638000,993.640277,379.308624
639000,993.630341,379.308624
640000,993.620405,379.308624
641000,993.610468,379.308624
642000,993.600532,379.308624
643000,993.590596,379.308624
644000,993.580660,379.308624
645000,993.570725,379.308624
646000,993.560789,379.308624
647000,993.550853,379.308624
648000,993.540918,379.308624
649000,993.530982,379.308624
650000,993.521047,379.308624
651000,993.511112,379.308624
652000,993.501177,379.308624
653000,993.491242,379.308624
654000,993.481307,379.308624
655000,993.471372,379.308624
656000,993.461437,379.308624
657000,993.451503,379.308624
658000,993.441568,379.308624
659000,993.431634,379.308624
660000,993.421699,379.308624
661000,993.411765,379.308624
662000,993.401831,379.308624
663000,993.391897,379.308624
664000,993.381963,379.308624
665000,993.372029,379.308624
666000,993.362096,379.308624
667000,993.352162,379.308624
668000,993.342228,379.308624
669000,993.332295,379.308624
670000,993.322362,379.308624
671000,993.312428,379.308624
672000,993.302495,379.308624
673000,993.292562,379.308624
674000,993.282629,379.308624
675000,993.272697,379.308624
676000,993.262764,379.308624
677000,993.252831,379.308624
678000,993.242899,379.308624
679000,993.232966,379.308624
680000,993.223034,379.308624
681000,993.213102,379.308624
682000,993.203170,379.308624
683000,993.193238,379.308624
684000,993.183306,379.308624
685000,993.173374,379.308624
686000,993.163442,379.308624
687000,993.153510,379.308624
688000,993.143579,379.308624
689000,993.133647,379.308624
690000,993.123716,379.308624
691000,993.113785,379.308624
692000,993.103854,379.308624
693000,993.093923,379.308624
694000,993.083992,379.308624
695000,993.074061,379.308624
696000,993.064130,379.308624
697000,993.054200,379.308624
698000,993.044269,379.308624
699000,993.034339,379.308624
700000,993.024408,379.308624
701000,993.014478,379.308624
702000,993.004548,379.308624
703000,992.994618,379.308624
704000,992.984688,379.308624
705000,992.974758,379.308624
706000,992.964828,379.308624
707000,992.954899,379.308624
708000,992.944969,379.308624
709000,992.935040,379.308624
710000,992.925110,379.308624
711000,992.915181,379.308624
712000,992.905252,379.308624
713000,992.895323,379.308624
714000,992.885394,379.308624
715000,992.875465,379.308624
716000,992.865536,379.308624
717000,992.855608,379.308624
718000,992.845679,379.308624
719000,992.835751,379.308624
720000,992.825822,379.308624
721000,992.815894,379.308624
722000,992.805966,379.308624
723000,992.796038,379.308624
724000,992.786110,379.308624
725000,992.776182,379.308624
726000,992.766254,379.308624
727000,992.756326,379.308624
728000,992.746399,379.308624
729000,992.736471,379.308624
730000,992.726544,379.308624
731000,992.716617,379.308624
732000,992.706690,379.308624
733000,992.696763,379.308624
734000,992.686836,379.308624
735000,992.676909,379.308624
736000,992.666982,379.308624
737000,992.657055,379.308624
738000,992.647129,379.308624
739000,992.637202,379.308624
740000,992.627276,379.308624
741000,992.617350,379.308624
742000,992.607423,379.308624
743000,992.597497,379.308624
744000,992.587571,379.308624
745000,992.577645,379.308624
746000,992.567720,379.308624
747000,992.557794,379.308624
748000,992.547868,379.308624
749000,992.537943,379.308624
750000,992.528018,379.308624
751000,992.518092,379.308624
752000,992.508167,379.308624
753000,992.498242,379.308624
754000,992.488317,379.308624
755000,992.478392,379.308624
756000,992.468467,379.308624
757000,992.458543,379.308624
758000,992.448618,379.308624
759000,992.438694,379.308624
760000,992.428769,379.308624
761000,992.418845,379.308624
762000,992.408921,379.308624
763000,992.398997,379.308624
764000,992.389073,379.308624
765000,992.379149,379.308624
766000,992.369225,379.308624
767000,992.359301,379.308624
768000,992.349378,379.308624
769000,992.339454,379.308624
770000,992.329531,379.308624
771000,992.319608,379.308624
772000,992.309684,379.308624
773000,992.299761,379.308624
774000,992.289838,379.308624
775000,992.279915,379.308624
776000,992.269993,379.308624
777000,992.260070,379.308624
778000,992.250147,379.308624
779000,992.240225,379.308624
780000,992.230302,379.308624
781000,992.220380,379.308624
782000,992.210458,379.308624
783000,992.200536,379.308624
784000,992.190614,379.308624
785000,992.180692,379.308624
786000,992.170770,379.308624
787000,992.160848,379.308624
788000,992.150927,379.308624
789000,992.141005,379.308624
790000,992.131084,379.308624
791000,992.121162,379.308624
792000,992.111241,379.308624
793000,992.101320,379.308624
794000,992.091399,379.308624
795000,992.081478,379.308624
796000,992.071557,379.308624
797000,992.061637,379.308624
798000,992.051716,379.308624
799000,992.041796,379.308624
800000,992.031875,379.308624
801000,992.021955,379.308624
802000,992.012035,379.308624
803000,992.002114,379.308624
804000,991.992194,379.308624
805000,991.982275,379.308624
806000,991.972355,379.308624
807000,991.962435,379.308624
808000,991.952515,379.308624
809000,991.942596,379.308624
810000,991.932676,379.308624
811000,991.922757,379.308624
812000,991.912838,379.308624
813000,991.902919,379.308624
814000,991.893000,379.308624
815000,991.883081,379.308624
816000,991.873162,379.308624
817000,991.863243,379.308624
818000,991.853325,379.308624
819000,991.843406,379.308624
820000,991.833488,379.308624
821000,991.823569,379.308624
822000,991.813651,379.308624
